window,model,lead,div_rmse_mean,vort_rmse_mean
2019-12-01_2020-02-29,HRES,1 days,6.118999256057499e-06,9.937380110974048e-06
2019-12-01_2020-02-29,HRES,3 days,8.060615115014767e-06,1.721991114268256e-05
2019-12-01_2020-02-29,HRES,5 days,9.361960954063073e-06,2.3254316282881912e-05
2019-12-01_2020-02-29,HRES,7 days,1.0309492493874737e-05,2.73804599466453e-05
2019-12-01_2020-02-29,GraphCast,1 days,4.660560015465175e-06,7.405627521533786e-06
2019-12-01_2020-02-29,GraphCast,3 days,6.409457445121245e-06,1.3853786675911387e-05
2019-12-01_2020-02-29,GraphCast,5 days,7.629715128236408e-06,1.9192312630355372e-05
2019-12-01_2020-02-29,GraphCast,7 days,8.648265135110804e-06,2.3212764037613732e-05
2019-12-01_2020-02-29,NeuralGCM,1 days,5.055522050841501e-06,7.841508566460683e-06
2019-12-01_2020-02-29,NeuralGCM,3 days,6.8137438608049235e-06,1.458920241355082e-05
2019-12-01_2020-02-29,NeuralGCM,5 days,8.120266403365148e-06,2.0451129081832796e-05
2019-12-01_2020-02-29,NeuralGCM,7 days,9.128952335507066e-06,2.496275543654099e-05
