window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked
2021-06-01_2021-08-31,HRES,1 days,46.9033722118535,46.39992527395353,74,108
2021-06-01_2021-08-31,HRES,3 days,142.98659940589462,140.5614744028072,70,108
2021-06-01_2021-08-31,HRES,5 days,321.02108555176375,312.7363157709725,66,108
2021-06-01_2021-08-31,HRES,7 days,527.8546936660687,518.2297261964175,66,104
2021-06-01_2021-08-31,GraphCast,1 days,,,0,0
2021-06-01_2021-08-31,GraphCast,3 days,,,0,0
2021-06-01_2021-08-31,GraphCast,5 days,,,0,0
2021-06-01_2021-08-31,GraphCast,7 days,,,0,0
2021-06-01_2021-08-31,NeuralGCM,1 days,,,0,0
2021-06-01_2021-08-31,NeuralGCM,3 days,,,0,0
2021-06-01_2021-08-31,NeuralGCM,5 days,,,0,0
2021-06-01_2021-08-31,NeuralGCM,7 days,,,0,0
