window,model,lead,regime,mean_lagged_growth,mean_error_growth,n
2022-06-01_2022-08-31,HRES,1 days,0,334.1437429823354,46.65651414316151,40
2022-06-01_2022-08-31,HRES,1 days,1,360.2695489568223,46.96377861201309,40
2022-06-01_2022-08-31,HRES,1 days,2,321.7832890457974,46.46144442085188,30
2022-06-01_2022-08-31,HRES,1 days,3,363.40390375927825,47.88357640219208,71
2022-06-01_2022-08-31,HRES,3 days,0,342.2723062337939,135.78926582386242,40
2022-06-01_2022-08-31,HRES,3 days,1,365.482131906506,141.2974408915497,40
2022-06-01_2022-08-31,HRES,3 days,2,327.93585482620267,133.67668316624176,26
2022-06-01_2022-08-31,HRES,3 days,3,370.86783462227817,138.91551463820934,71
2022-06-01_2022-08-31,HRES,5 days,0,386.33085730148764,304.0353175450851,40
2022-06-01_2022-08-31,HRES,5 days,1,401.4507941420146,310.50492671697214,40
2022-06-01_2022-08-31,HRES,5 days,2,375.4342508577731,294.38643801031844,22
2022-06-01_2022-08-31,HRES,5 days,3,400.9697063727254,300.717909310809,71
2022-06-01_2022-08-31,HRES,7 days,0,508.3514464259821,513.166398974453,40
2022-06-01_2022-08-31,HRES,7 days,1,507.7864275343607,499.3778868216803,40
2022-06-01_2022-08-31,HRES,7 days,2,464.09092643102133,483.4307020213207,18
2022-06-01_2022-08-31,HRES,7 days,3,495.3139441237641,516.0679899446634,71
