hits,misses,false_alarms,correct_negatives,POD,FAR,CSI,frequency_bias,truth_positive_count,forecast_positive_count,window,model,lead,sector
51,1,0,130,0.9807692307692307,0.0,0.9807692307692307,0.9807692307692307,52,51,2019-03-01_2019-05-31,HRES,1 days,EuroAtlantic
31,0,5,146,1.0,0.1388888888888889,0.8611111111111112,1.1612903225806452,31,36,2019-03-01_2019-05-31,HRES,1 days,Pacific
47,5,3,123,0.9038461538461539,0.06,0.8545454545454545,0.9615384615384616,52,50,2019-03-01_2019-05-31,HRES,3 days,EuroAtlantic
28,3,4,143,0.9032258064516129,0.125,0.8,1.032258064516129,31,32,2019-03-01_2019-05-31,HRES,3 days,Pacific
45,7,9,113,0.8653846153846154,0.16666666666666666,0.7377049180327869,1.0384615384615385,52,54,2019-03-01_2019-05-31,HRES,5 days,EuroAtlantic
26,5,10,133,0.8387096774193549,0.2777777777777778,0.6341463414634146,1.1612903225806452,31,36,2019-03-01_2019-05-31,HRES,5 days,Pacific
35,17,16,102,0.6730769230769231,0.3137254901960784,0.5147058823529411,0.9807692307692307,52,51,2019-03-01_2019-05-31,HRES,7 days,EuroAtlantic
14,17,18,121,0.45161290322580644,0.5625,0.2857142857142857,1.032258064516129,31,32,2019-03-01_2019-05-31,HRES,7 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-03-01_2019-05-31,GraphCast,1 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-03-01_2019-05-31,GraphCast,1 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-03-01_2019-05-31,GraphCast,3 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-03-01_2019-05-31,GraphCast,3 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-03-01_2019-05-31,GraphCast,5 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-03-01_2019-05-31,GraphCast,5 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-03-01_2019-05-31,GraphCast,7 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-03-01_2019-05-31,GraphCast,7 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-03-01_2019-05-31,NeuralGCM,1 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-03-01_2019-05-31,NeuralGCM,1 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-03-01_2019-05-31,NeuralGCM,3 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-03-01_2019-05-31,NeuralGCM,3 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-03-01_2019-05-31,NeuralGCM,5 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-03-01_2019-05-31,NeuralGCM,5 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-03-01_2019-05-31,NeuralGCM,7 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-03-01_2019-05-31,NeuralGCM,7 days,Pacific
