bucket,season,model,n_windows,frequency_bias_mean,frequency_bias_ci_lo,frequency_bias_ci_hi,hits_mean,hits_ci_lo,hits_ci_hi,misses_mean,misses_ci_lo,misses_ci_hi,false_alarms_mean,false_alarms_ci_lo,false_alarms_ci_hi,correct_negatives_mean,correct_negatives_ci_lo,correct_negatives_ci_hi
season,DJF,GraphCast,8,0.5644257703081232,0.17647058823529413,1.0644257703081232,4.0,0.75,8.625,2.625,0.375,5.875,1.875,0.375,3.625,64.5,18.856250000000003,111.0
season,DJF,HRES,8,0.9933295098976046,0.8087361415092793,1.209233421629521,11.375,7.0,16.0,8.625,4.875,12.75,9.25,6.0,12.75,137.25,129.125,146.25312499999998
season,DJF,NeuralGCM,8,0.38125,0.10416666666666667,0.75,3.875,0.75,8.375,1.625,0.375,3.375,1.75,0.5,3.5,34.75,11.0,62.0
season,JJA,GraphCast,10,0.18294117647058822,0.0,0.46882352941176464,2.3,0.0,6.8,1.6,0.0,4.4,1.6,0.0,4.5,28.5,0.0,69.3
season,JJA,HRES,10,0.9376898820134114,0.7011495681605976,1.2463182720057717,12.8,7.397500000000001,17.802499999999988,14.4,8.5975,21.502499999999987,8.7,6.5,11.002499999999987,134.1,122.4,145.8025
season,JJA,NeuralGCM,10,0.29117647058823526,0.0,0.7823529411764706,2.4,0.0,7.1,1.5,0.0,4.1,1.7,0.0,4.2,28.4,0.0,69.6
season,MAM,GraphCast,10,0.13485663082437277,0.0,0.34068100358422937,4.8,0.0,13.4,5.0,0.0,12.4,1.9,0.0,5.1,22.3,0.0,54.8
season,MAM,HRES,10,1.0328516581916571,0.9101922997653998,1.2002562126089726,30.9,20.5,41.9,14.8,10.9,18.502499999999987,13.6,11.297500000000001,15.8,110.7,100.5,121.00499999999997
season,MAM,NeuralGCM,10,0.17732974910394267,0.0,0.45143369175627235,6.5,0.0,17.8,3.3,0.0,8.0,2.4,0.0,6.0,21.8,0.0,53.2
season,SON,GraphCast,10,0.2717117117117117,0.06,0.5183783783783783,2.5,0.0,7.0,2.5,0.3,5.7,1.1,0.1,2.6,30.7,1.0,71.9
season,SON,HRES,10,0.9799637527167514,0.7442470074687559,1.2262606033864933,11.1,5.8,16.9,6.9,4.1,9.9,6.0,3.6,8.5,144.0,135.3,152.3
season,SON,NeuralGCM,10,0.2445945945945946,0.0,0.6,2.7,0.0,8.1,1.2,0.0,3.4,1.1,0.0,3.0,28.6,0.0,69.5
year,ALL,GraphCast,10,0.9890800865800866,0.27473971861471863,2.0360930735930736,12.6,0.5,34.2,11.7,0.9,27.3,6.7,1.0,14.6,140.6,24.195,301.5025
year,ALL,HRES,10,0.9529944994082173,0.8749869157716307,1.0334059477248743,71.6,49.5925,93.80249999999998,49.3,39.2,58.1,41.7,33.8975,50.004999999999974,553.8,519.99,589.31
year,ALL,NeuralGCM,10,0.19765151515151516,0.0,0.4911363636363636,14.8,0.0,41.8,7.5,0.0,19.112499999999933,6.9,0.0,17.7,114.4,0.0,279.9
