tag,bucket,season,model,hardest_regime,hardest_value,easiest_regime,easiest_value
2018,year,ALL,HRES,2,545.7381494850825,0,2.629896770169553
2019,year,ALL,GraphCast,1,442.9627159330045,1,2.195571236500202
2019,year,ALL,HRES,0,540.1539049603678,2,2.603070882457517
2020,year,ALL,GraphCast,1,489.0648208815826,2,2.276802366798648
2020,year,ALL,HRES,1,539.5594354465352,2,2.562608715888787
2020,year,ALL,NeuralGCM,1,487.9965503969413,2,2.2867904761330915
2021,year,ALL,GraphCast,3,449.3975819551928,3,2.2831035262524906
2021,year,ALL,HRES,2,536.4501782852849,2,2.691775684709804
2022,year,ALL,HRES,1,541.1932521441335,0,2.587846379245593
DJF_2019,season,DJF,HRES,1,530.5669626369341,2,2.49235700419333
DJF_2020,season,DJF,GraphCast,0,451.85467029507697,2,2.099647227320678
DJF_2020,season,DJF,HRES,3,506.2614637022177,2,2.440094267577395
DJF_2020,season,DJF,NeuralGCM,3,443.22476097536463,1,2.217952049016841
DJF_2021,season,DJF,GraphCast,1,440.2510965298045,2,2.168928035319156
DJF_2021,season,DJF,HRES,0,524.0131355753746,2,2.4496806904698625
DJF_2021,season,DJF,NeuralGCM,2,419.54506847481673,1,2.1569898663372133
DJF_2022,season,DJF,HRES,3,519.4879770333696,0,2.4716616977300405
JJA_2018,season,JJA,HRES,2,569.07203825775,3,2.646429403587031
JJA_2019,season,JJA,HRES,3,570.4593182083916,2,2.514305166970992
JJA_2020,season,JJA,GraphCast,2,502.20716174775305,0,2.2896672332090784
JJA_2020,season,JJA,HRES,2,533.8730371200711,0,2.578376289421429
JJA_2020,season,JJA,NeuralGCM,1,484.6838377189392,3,2.3180424065039134
JJA_2021,season,JJA,HRES,0,539.30590593682,2,2.620644927308
JJA_2022,season,JJA,HRES,0,520.6587407092486,0,2.568127172044465
MAM_2018,season,MAM,HRES,2,572.2254998372238,2,2.7888257058446126
MAM_2019,season,MAM,HRES,0,556.8830174282476,2,2.7128182655027886
MAM_2020,season,MAM,GraphCast,3,573.2960502037448,2,2.3926335930864444
MAM_2020,season,MAM,HRES,3,598.5765306794046,2,2.7256271657826416
MAM_2020,season,MAM,NeuralGCM,3,556.536051411286,2,2.438079854997961
MAM_2021,season,MAM,HRES,2,587.0515600291315,3,2.678649623847876
MAM_2022,season,MAM,HRES,0,570.2309667999253,3,2.6275737580451954
SON_2018,season,SON,HRES,0,542.7868140825406,1,2.5419352632296586
SON_2019,season,SON,GraphCast,2,457.0284026788767,2,2.1526434106225825
SON_2019,season,SON,HRES,3,526.2496423302081,0,2.4305123279209555
SON_2020,season,SON,GraphCast,2,454.7980050880756,3,2.1666528563859733
SON_2020,season,SON,HRES,2,542.6043275489717,3,2.4291247013695627
SON_2020,season,SON,NeuralGCM,1,476.0152336787823,3,2.242141188785411
SON_2021,season,SON,HRES,1,525.2811321893812,3,2.504471988167732
SON_2022,season,SON,HRES,2,547.3563528188787,0,2.5266490750579838
